,Power
548,0.10390243902439024
549,0.09121951219512195
550,0.14390243902439023
551,0.204390243902439
552,0.16634146341463416
553,0.19219512195121952
554,0.20536585365853657
555,0.1424390243902439
556,0.13463414634146342
557,0.17317073170731706
558,0.16682926829268294
559,0.15121951219512195
560,0.17414634146341462
561,0.5097560975609756
562,0.4678048780487805
563,0.3546341463414634
564,0.24536585365853658
565,0.18341463414634146
566,0.11609756097560976
567,0.07073170731707316
568,0.05853658536585366
569,0.026341463414634145
570,0.005853658536585366
571,0.042439024390243905
572,0.05024390243902439
573,0.05951219512195122
574,0.008292682926829269
575,0.03463414634146342
576,0.03219512195121951
577,0.07853658536585366
578,0.12341463414634146
579,0.22195121951219512
580,0.2809756097560976
581,0.23609756097560974
582,0.3795121951219512
583,0.4165853658536585
584,0.5941463414634146
585,0.9463414634146341
586,0.995609756097561
587,0.9951219512195122
588,0.8351219512195122
589,0.6965853658536585
590,0.26195121951219513
591,0.47073170731707314
592,0.5239024390243903
593,0.35317073170731705
594,0.4575609756097561
595,0.4624390243902439
596,0.38878048780487806
597,0.66
598,0.628780487804878
599,0.8151219512195121
600,0.4878048780487805
601,0.5414634146341464
602,0.6341463414634146
603,0.6253658536585366
604,0.8351219512195122
605,0.8078048780487805
606,0.5121951219512195
607,0.5780487804878048
608,0.5063414634146342
609,0.5897560975609756
610,0.7375609756097561
611,0.568780487804878
612,0.5107317073170732
613,0.5804878048780487
614,0.8209756097560975
615,0.7619512195121951
616,0.9575609756097561
617,0.9785365853658536
618,0.9117073170731708
619,0.9565853658536585
620,0.8819512195121951
621,0.6526829268292683
622,0.4682926829268293
623,0.5819512195121951
624,0.25073170731707317
625,0.25951219512195123
626,0.3019512195121951
627,0.24536585365853658
628,0.5482926829268293
629,0.9721951219512195
630,1.0014634146341463
631,0.9960975609756098
632,0.9980487804878049
633,0.995609756097561
634,0.9985365853658537
635,1.0009756097560976
636,0.9985365853658537
637,0.9995121951219512
638,0.9995121951219512
639,1.0004878048780488
640,1.0009756097560976
641,1.0004878048780488
642,1.0009756097560976
643,1.0014634146341463
644,1.0004878048780488
645,1.0014634146341463
646,0.9980487804878049
647,1.0
648,0.9960975609756098
649,1.0019512195121951
650,1.0009756097560976
651,0.9960975609756098
652,0.964390243902439
653,0.9302439024390244
654,0.8887804878048781
655,0.8263414634146341
656,0.7531707317073171
657,0.7209756097560975
658,0.6521951219512195
659,0.5146341463414634
660,0.44439024390243903
661,0.5034146341463415
662,0.5473170731707317
663,0.44439024390243903
664,0.35121951219512193
665,0.21024390243902438
666,0.20780487804878048
667,0.3619512195121951
668,0.3151219512195122
669,0.546829268292683
