     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3885500 2480500  1  5  6   9.0  991 183  3.5 8  5.0  69    0    0 332 -346  1
3885500 2480500  1  5  7   8.8  990 172  2.8 8  5.1  70    0    0 331 -346  1
3885500 2480500  1  5  8   8.4  989 178  3.0 8  5.2  73    0    0 330 -346  1
3885500 2480500  1  5  9   8.1  988 195  6.1 8  5.3  76    0    0 330 -346  1
3885500 2480500  1  5 10   7.6  988 203  7.1 8  5.8  86    0   16 331 -347  1
3885500 2480500  1  5 11   7.8  987 179  5.7 7  6.2  93    0   33 328 -349  1
3885500 2480500  1  5 12   8.9  986 181  8.6 7  6.5  92    0   39 326 -351  1
3885500 2480500  1  5 13   9.2  985 178  8.7 8  6.8  92    0   46 334 -353  1
3885500 2480500  1  5 14   9.8  983 178  9.4 8  6.9  90    0   45 346 -354  1
3885500 2480500  1  5 15  10.1  981 188 10.1 7  6.9  88    0   42 338 -356  1
3885500 2480500  1  5 16  10.6  981 204 10.0 8  7.0  86    0   29 340 -358  1
3885500 2480500  1  5 17  10.9  981 213  8.6 8  7.1  85    0    3 354 -360  1
3885500 2480500  1  5 18  11.6  981 205  7.1 8  7.2  83    0    0 356 -361  1
3885500 2480500  1  5 19  10.9  981 212  7.7 7  7.3  85    0    0 346 -363  1
3885500 2480500  1  5 20  10.7  980 197  7.6 7  7.7  93    0    0 335 -364  1
3885500 2480500  1  5 21  12.2  981 200  9.0 8  7.7  89    0    0 347 -365  1
3885500 2480500  1  5 22  12.6  981 204  9.1 8  7.7  83    0    0 361 -366  1
3885500 2480500  1  5 23  11.8  981 211  6.9 8  8.0  87    0    0 360 -366  1
3885500 2480500  1  5 24  11.0  981 208  7.7 8  8.2  94    0    0 357 -366  1
3885500 2480500  1  6  1  10.6  982 200  7.8 7  8.3  99    0    0 347 -366  1
3885500 2480500  1  6  2  10.7  982 200  7.0 8  8.3 100    0    0 346 -365  1
3885500 2480500  1  6  3  10.6  982 191  6.9 8  8.3 100    0    0 350 -365  1
3885500 2480500  1  6  4  11.1  982 196  7.9 7  8.1  97    0    0 343 -363  1
3885500 2480500  1  6  5  11.6  981 215  8.6 7  7.9  91    0    0 336 -361  1
3885500 2480500  1  6  6  12.2  981 215  9.4 8  7.6  85    0    0 341 -358  1
3885500 2480500  1  6  7  11.7  982 221  8.5 8  7.7  86    0    0 343 -352  1
3885500 2480500  1  6  8  10.3  984 235  8.6 7  7.7  90    0    0 333 -348  1
3885500 2480500  1  6  9   9.5  986 241  8.3 7  6.7  85    0    3 320 -345  1
3885500 2480500  1  6 10   8.5  988 196  7.0 7  5.8  80    3   52 315 -344  1
3885500 2480500  1  6 11   8.6  989 222  6.0 4  5.6  79   19  110 296 -347  1
3885500 2480500  1  6 12   8.7  990 244  5.2 5  5.6  78    8  124 285 -351  1
3885500 2480500  1  6 13   8.7  991 220  5.9 6  5.6  78    0   92 294 -354  1
3885500 2480500  1  6 14   8.7  992 222  4.4 6  5.5  77    0   79 297 -355  1
3885500 2480500  1  6 15   8.5  992 241  3.5 7  5.4  76    0   45 301 -354  1
3885500 2480500  1  6 16   8.4  992 247  3.9 8  5.5  78    0   30 311 -351  1
3885500 2480500  1  6 17   8.2  993 191  2.7 8  5.4  77    0    2 315 -348  1
3885500 2480500  1  6 18   8.2  993 190  5.4 8  5.2  75    0    0 314 -344  1
3885500 2480500  1  6 19   7.6  993 191  4.8 8  5.1  75    0    0 313 -341  1
3885500 2480500  1  6 20   7.5  993 192  4.1 8  5.0  76    0    0 314 -341  1
3885500 2480500  1  6 21   7.5  994 193  4.9 8  5.1  77    0    0 317 -341  1
3885500 2480500  1  6 22   6.7  994 189  4.9 7  5.2  82    0    0 312 -342  1
3885500 2480500  1  6 23   6.3  995 234  5.5 7  5.5  90    0    0 305 -341  1
3885500 2480500  1  6 24   6.2  995 215  4.8 6  5.6  93    0    0 299 -340  1
3885500 2480500  1  7  1   6.5  996 204  5.5 8  5.5  91    0    0 307 -339  1
3885500 2480500  1  7  2   6.5  996 222  4.8 8  5.4  88    0    0 321 -339  1
3885500 2480500  1  7  3   6.6  997 205  4.9 8  5.4  87    0    0 322 -340  1
3885500 2480500  1  7  4   6.5  997 191  4.1 6  5.3  87    0    0 311 -341  1
3885500 2480500  1  7  5   6.4  997 212  4.1 6  5.3  87    0    0 299 -341  1
3885500 2480500  1  7  6   5.9  998 203  3.3 7  5.3  90    0    0 304 -341  1
3885500 2480500  1  7  7   6.1  998 199  3.2 8  5.5  92    0    0 318 -341  1
3885500 2480500  1  7  8   5.9  998 196  2.5 8  5.7  96    0    0 326 -340  1
3885500 2480500  1  7  9   5.9  998 194  2.5 8  5.7  97    0    0 326 -340  1
3885500 2480500  1  7 10   6.1  999 234  3.2 8  5.6  94    0   16 326 -340  1
3885500 2480500  1  7 11   6.1  999 216  2.6 8  5.6  95    0   65 327 -341  1
3885500 2480500  1  7 12   6.4  999 220  3.3 7  5.7  95    2  108 320 -344  1
3885500 2480500  1  7 13   7.3  999 211  2.7 6  5.7  91    8  135 309 -346  1
3885500 2480500  1  7 14   7.8  999 212  2.7 7  5.7  86    8  125 311 -347  1
3885500 2480500  1  7 15   7.6  999 234  1.9 7  5.6  84    4   90 318 -349  1
3885500 2480500  1  7 16   7.7  998 203  2.5 7  5.5  83    3   51 317 -348  1
3885500 2480500  1  7 17   7.1  999 245  2.5 8  5.4  83    0    7 324 -346  1
3885500 2480500  1  7 18   5.8  999 211  1.0 7  5.3  87    0    0 320 -344  1
3885500 2480500  1  7 19   4.7  999 188  1.6 5  5.3  94    0    0 295 -342  1
3885500 2480500  1  7 20   3.9  999 192  1.8 4  5.2  99    0    0 274 -340  1
3885500 2480500  1  7 21   5.0  999 209  2.5 5  5.2  98    0    0 273 -339  1
3885500 2480500  1  7 22   4.2 1000 311  2.4 7  5.2  97    0    0 289 -339  1
3885500 2480500  1  7 23   3.4 1000  38  1.1 7  4.8  95    0    0 296 -338  1
3885500 2480500  1  7 24   3.9 1000  29  1.7 6  4.8  96    0    0 289 -337  1
3885500 2480500  1  8  1   3.4 1000 285  1.7 8  4.9  97    0    0 295 -337  1
3885500 2480500  1  8  2   3.8 1000 254  1.7 8  4.8  97    0    0 307 -338  1
3885500 2480500  1  8  3   4.2  999 267  1.6 6  5.0  97    0    0 296 -339  1
3885500 2480500  1  8  4   4.8 1000 256  0.9 5  5.1  97    0    0 279 -338  1
3885500 2480500  1  8  5   4.7 1000 286  1.6 4  5.2  96    0    0 267 -338  1
3885500 2480500  1  8  6   4.5  999 280  1.6 8  5.1  96    0    0 285 -337  1
3885500 2480500  1  8  7   4.6  999 277  1.5 8  5.1  97    0    0 314 -335  1
3885500 2480500  1  8  8   4.7 1000 266  1.6 7  5.2  97    0    0 309 -334  1
3885500 2480500  1  8  9   4.6 1000 333  0.8 7  5.2  97    0    9 304 -334  1
3885500 2480500  1  8 10   4.4 1000 333  0.8 8  5.1  96    0   42 311 -335  1
3885500 2480500  1  8 11   5.0 1000 238  1.5 7  5.2  96    2   77 312 -336  1
3885500 2480500  1  8 12   5.0 1001 304  0.9 7  5.3  96    1   94 306 -338  1
3885500 2480500  1  8 13   5.1 1001 331  1.0 8  5.3  97    0   85 311 -341  1
3885500 2480500  1  8 14   5.7 1000 332  1.8 8  5.4  96    0   75 319 -343  1
3885500 2480500  1  8 15   5.7 1000 301  1.3 8  5.3  92    0   55 320 -344  1
3885500 2480500  1  8 16   5.6 1000 290  1.1 7  5.5  95    0   36 314 -343  1
3885500 2480500  1  8 17   5.7 1000 316  0.4 7  5.7  99    0    7 309 -340  1
3885500 2480500  1  8 18   5.2 1000 264  1.7 7  5.6  98    0    0 308 -338  1
3885500 2480500  1  8 19   4.6 1001 290  1.7 6  5.4  99    0    0 300 -336  1
3885500 2480500  1  8 20   3.6 1001 293  3.2 6  5.2 100    0    0 292 -335  1
3885500 2480500  1  8 21   2.8 1001 295  3.1 6  4.7  98    0    0 287 -334  1
3885500 2480500  1  8 22   2.7 1002 290  3.7 6  4.4  94    0    0 284 -333  1
3885500 2480500  1  8 23   1.5 1002 285  3.2 6  4.2  94    0    0 279 -333  1
3885500 2480500  1  8 24   1.0 1002 286  2.6 4  4.1  96    0    0 263 -332  1
3885500 2480500  1  9  1   1.1 1003 273  3.1 4  4.0  96    0    0 249 -331  1
3885500 2480500  1  9  2   1.2 1003 243  3.9 4  4.0  96    0    0 251 -330  1
3885500 2480500  1  9  3   2.1 1003 243  4.7 4  4.1  96    0    0 255 -329  1
3885500 2480500  1  9  4   2.9 1003 227  4.7 5  4.3  94    0    0 267 -329  1
3885500 2480500  1  9  5   3.1 1003 219  4.8 6  4.4  93    0    0 279 -329  1
3885500 2480500  1  9  6   3.2 1003 208  6.2 8  4.5  93    0    0 296 -329  1
3885500 2480500  1  9  7   3.3 1003 219  4.6 8  4.4  91    0    0 305 -328  1
3885500 2480500  1  9  8   3.4 1003 231  4.9 8  4.3  89    0    0 304 -326  1
3885500 2480500  1  9  9   3.2 1004 230  4.2 8  4.4  90    0    2 304 -326  1
3885500 2480500  1  9 10   3.3 1004 243  4.2 8  4.4  90    3   42 304 -327  1
3885500 2480500  1  9 11   3.7 1004 264  4.3 7  4.3  87    0   67 299 -330  1
3885500 2480500  1  9 12   4.4 1004 217  4.2 7  4.2  82    1   90 294 -335  1
3885500 2480500  1  9 13   5.0 1004 340  3.4 6  4.1  77   28  119 290 -337  1
3885500 2480500  1  9 14   5.4 1003 125  2.7 6  4.2  75   37  111 285 -339  1
3885500 2480500  1  9 15   5.2 1003 137  0.6 5  4.1  74   61   78 279 -340  1
3885500 2480500  1  9 16   4.6 1002 150  1.2 5  4.0  74   71   25 272 -337  1
3885500 2480500  1  9 17   4.4 1002  86  1.8 6  4.1  77   12   10 272 -333  1
3885500 2480500  1  9 18   3.4 1002 108  2.6 6  4.1  80    0    0 272 -327  1
3885500 2480500  1  9 19   3.1 1002  63  3.4 7  4.0  82    0    0 270 -322  1
3885500 2480500  1  9 20   2.6 1001  92  3.3 7  4.0  84    0    0 271 -318  1
3885500 2480500  1  9 21   2.2 1001  90  3.3 7  4.0  88    0    0 268 -316  1
3885500 2480500  1  9 22   1.7 1001  78  3.2 2  4.0  91    0    0 247 -315  1
3885500 2480500  1  9 23   1.3 1001  85  3.2 1  4.0  92    0    0 223 -315  1
3885500 2480500  1  9 24   1.2 1001  85  2.5 3  3.9  93    0    0 224 -315  1
3885500 2480500  1 10  1   0.6 1000 113  1.8 5  3.8  93    0    0 239 -314  1
3885500 2480500  1 10  2  -0.3 1001 101  1.2 7  3.7  94    0    0 255 -313  1
3885500 2480500  1 10  3  -0.2 1001  64  1.1 8  3.6  94    0    0 267 -312  1
3885500 2480500  1 10  4  -0.9 1000 140  1.1 8  3.5  96    0    0 272 -312  1
3885500 2480500  1 10  5  -0.1 1000 148  1.8 8  3.6  97    0    0 273 -311  1
3885500 2480500  1 10  6   0.1  999 118  3.2 8  3.7  96    0    0 275 -311  1
3885500 2480500  1 10  7   0.7  999 127  2.5 7  3.8  95    0    0 274 -310  1
3885500 2480500  1 10  8   1.0  999 143  1.0 8  3.9  96    0    0 276 -310  1
3885500 2480500  1 10  9   1.1  999 120  1.7 7  4.0  96    0    3 279 -310  1
